"","to","from","movers","date","fr_pat","to_pat","fr_users","to_users"
"151","51003","51069",145,2019-01-01,34,2,137274,153975
"152","51003","51640",0,2019-01-01,109,2,7278,153975
"153","51003","51630",131,2019-01-01,108,2,44534,153975
"154","51003","51139",257,2019-01-01,67,2,40673,153975
"155","51003","51183",0,2019-01-01,88,2,17885,153975
"156","51003","51179",246,2019-01-01,86,2,227335,153975
"157","51003","51035",144,2019-01-01,18,2,45489,153975
"158","51003","51840",17,2019-01-01,133,2,41272,153975
"159","51003","51710",311,2019-01-01,119,2,408163,153975
"160","51003","51163",210,2019-01-01,78,2,35665,153975
"161","51003","51660",869,2019-01-01,111,2,84786,153975
"162","51003","51087",771,2019-01-01,43,2,558046,153975
"163","51003","51113",528,2019-01-01,56,2,21001,153975
"164","51003","51690",0,2019-01-01,117,2,22276,153975
"165","51003","51650",115,2019-01-01,110,2,224693,153975
"166","51003","51185",16,2019-01-01,89,2,66906,153975
"167","51003","51171",0,2019-01-01,82,2,70180,153975
"168","51003","51051",17,2019-01-01,26,2,24349,153975
"169","51003","51119",0,2019-01-01,59,2,16430,153975
"170","51003","51550",160,2019-01-01,100,2,404560,153975
"171","51003","51730",0,2019-01-01,121,2,49745,153975
"172","51003","51193",19,2019-01-01,92,2,28073,153975
"173","51003","51135",88,2019-01-01,65,2,24627,153975
"174","51003","51540",11542,2019-01-01,99,2,68209,153975
"175","51003","51045",0,2019-01-01,23,2,8129,153975
"176","51003","51520",0,2019-01-01,97,2,25038,153975
"177","51003","51017",0,2019-01-01,9,2,6549,153975
"178","51003","51127",23,2019-01-01,62,2,35250,153975
"179","51003","51111",69,2019-01-01,55,2,20351,153975
"180","51003","51053",15,2019-01-01,27,2,50342,153975
"181","51003","51735",0,2019-01-01,122,2,20849,153975
"182","51003","51570",55,2019-01-01,101,2,33302,153975
"183","51003","51683",21,2019-01-01,115,2,66164,153975
"184","51003","51153",335,2019-01-01,73,2,727098,153975
"185","51003","51137",756,2019-01-01,66,2,56203,153975
"186","51003","51019",150,2019-01-01,10,2,135376,153975
"187","51003","51760",565,2019-01-01,125,2,354947,153975
"188","51003","51175",18,2019-01-01,84,2,31773,153975
"189","51003","51530",88,2019-01-01,98,2,10410,153975
"190","51003","51191",0,2019-01-01,91,2,87011,153975
"191","51003","51071",92,2019-01-01,35,2,27875,153975
"192","51003","51041",272,2019-01-01,21,2,584264,153975
"193","51003","51027",23,2019-01-01,14,2,34563,153975
"194","51003","51199",100,2019-01-01,95,2,111883,153975
"195","51003","51169",0,2019-01-01,81,2,28701,153975
"196","51003","51790",453,2019-01-01,128,2,38974,153975
"197","51003","51093",86,2019-01-01,46,2,60681,153975
"198","51003","51680",590,2019-01-01,114,2,117483,153975
"199","51003","51720",0,2019-01-01,120,2,6050,153975
"200","51003","51678",78,2019-01-01,113,2,11226,153975
"201","51003","51117",48,2019-01-01,58,2,48003,153975
"202","51003","51115",0,2019-01-01,57,2,13186,153975
"203","51003","51059",1474,2019-01-01,29,2,1763382,153975
"204","51003","51029",1866,2019-01-01,15,2,28349,153975
"205","51003","51590",78,2019-01-01,103,2,68488,153975
"206","51003","51750",118,2019-01-01,124,2,32409,153975
"207","51003","51143",275,2019-01-01,69,2,117603,153975
"208","51003","51125",1314,2019-01-01,61,2,22989,153975
"209","51003","51037",0,2019-01-01,20,2,21475,153975
"210","51003","51036",0,2019-01-01,19,2,10204,153975
"211","51003","51167",0,2019-01-01,80,2,46676,153975
"212","51003","51105",21,2019-01-01,52,2,35683,153975
"213","51003","51103",20,2019-01-01,51,2,14049,153975
"214","51003","51670",0,2019-01-01,112,2,38762,153975
"215","51003","51061",81,2019-01-01,30,2,107514,153975
"216","51003","51595",0,2019-01-01,104,2,7929,153975
"217","51003","51700",183,2019-01-01,118,2,300145,153975
"218","51003","51187",135,2019-01-01,90,2,64982,153975
"219","51003","51173",0,2019-01-01,83,2,50469,153975
"220","51003","51085",442,2019-01-01,42,2,185889,153975
"221","51003","51025",0,2019-01-01,13,2,25288,153975
"222","51003","51685",0,2019-01-01,116,2,29141,153975
"223","51003","51011",12,2019-01-01,6,2,29404,153975
"224","51003","51155",82,2019-01-01,74,2,57623,153975
"225","51003","51079",4060,2019-01-01,39,2,30089,153975
"226","51003","51077",103,2019-01-01,38,2,22261,153975
"227","51003","51610",0,2019-01-01,106,2,18212,153975
"228","51003","51033",15,2019-01-01,17,2,50376,153975
"229","51003","51600",0,2019-01-01,105,2,33021,153975
"230","51003","51161",14,2019-01-01,77,2,173951,153975
"231","51003","51001",71,2019-01-01,1,2,46982,153975
"232","51003","51099",29,2019-01-01,49,2,40754,153975
"233","51003","51015",1608,2019-01-01,8,2,128468,153975
"234","51003","51740",19,2019-01-01,123,2,161186,153975
"235","51003","51083",152,2019-01-01,41,2,58170,153975
"236","51003","51081",0,2019-01-01,40,2,18707,153975
"237","51003","51067",218,2019-01-01,33,2,96126,153975
"238","51003","51009",178,2019-01-01,5,2,58598,153975
"239","51003","51021",0,2019-01-01,11,2,9754,153975
"240","51003","51007",63,2019-01-01,4,2,22500,153975
"241","51003","51047",344,2019-01-01,24,2,78830,153975
"242","51003","51147",373,2019-01-01,71,2,39815,153975
"243","51003","51133",0,2019-01-01,64,2,17739,153975
"244","51003","51830",143,2019-01-01,132,2,21163,153975
"245","51003","51043",54,2019-01-01,22,2,22764,153975
"246","51003","51820",871,2019-01-01,131,2,34029,153975
"247","51003","51810",215,2019-01-01,130,2,784792,153975
"248","51003","51013",454,2019-01-01,7,2,302943,153975
"249","51003","51800",16,2019-01-01,129,2,150156,153975
"250","51003","51049",24,2019-01-01,25,2,15453,153975
"251","51003","51095",121,2019-01-01,47,2,109104,153975
"252","51003","51197",166,2019-01-01,94,2,47549,153975
"253","51003","51003",109346,2019-01-01,2,2,156239,153975
"254","51003","51073",42,2019-01-01,36,2,62095,153975
"255","51003","51089",145,2019-01-01,44,2,92093,153975
"256","51003","51031",259,2019-01-01,16,2,101999,153975
"257","51003","51057",19,2019-01-01,28,2,19001,153975
"258","51003","51580",15,2019-01-01,102,2,8712,153975
"259","51003","51065",4269,2019-01-01,32,2,41315,153975
"260","51003","51101",37,2019-01-01,50,2,28523,153975
"261","51003","51107",87,2019-01-01,53,2,580113,153975
"262","51003","51063",17,2019-01-01,31,2,27190,153975
